Time;Grid voltage URS;Grid voltage UST;Grid voltage magnitude;Grid voltage magnitude filtered;DC link current;Control angle grid unlimited;Control angle grid;Control angle grid lower limit;Control angle grid upper limit;DC1 end position request;DC2 end position request;End position request causes;Control angle motor;PLL grid angle error;Notch mask grid;Grid frequency;Grid frequency filtered;Grid integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;Release pulses grid;Pulse block causes;
0.0220250;0.947271;-0.751022;0.999957;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-1.21042e-05;0.0;1.00001;1.00001;-0.767179;0.250064;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0230250;0.999891;-0.510225;0.999961;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;1.39328e-05;0.0;1.00002;1.00002;-0.453016;0.250049;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0240250;0.954647;-0.219539;0.999977;0.999965;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-2.55835e-05;0.0;1.0;1.00001;-0.138854;0.250057;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0250250;0.815954;0.0926363;0.999966;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-6.89122e-05;0.0;0.99998;0.99999;0.175307;0.250049;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0260250;0.597344;0.395809;0.999946;0.99995;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-2.37753e-05;0.0;1.0;0.999996;0.489463;0.250050;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0270250;0.320307;0.660186;0.999936;0.999945;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-3.23246e-05;0.0;0.999998;1.0;0.803622;0.250048;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0280250;0.0118481;0.859978;0.999928;0.999945;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;3.17161e-05;0.0;1.00003;1.00002;1.11778;0.250066;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0290250;-0.297656;0.975556;0.999952;0.999963;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-2.69352e-05;0.0;1.0;0.999994;1.43194;0.250035;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0300250;-0.578062;0.995651;0.999952;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-4.92535e-05;0.0;0.999988;0.999985;1.7461;0.250040;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0310250;-0.801957;0.91829;0.999975;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;5.94237e-06;0.0;1.00002;1.0;2.06026;0.250048;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0320250;-0.947271;0.751022;0.999957;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-1.42225e-05;0.0;1.00001;1.0;2.37442;0.250044;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0330250;-0.999891;0.510225;0.999961;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;1.30551e-05;0.0;1.00002;1.00001;2.68858;0.249989;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0340250;-0.954647;0.219539;0.999977;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-2.54606e-05;0.0;1.0;1.00001;3.00274;0.249973;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0350250;-0.815954;-0.0926363;0.999966;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-6.82919e-05;0.0;0.999978;0.999988;-2.96629;0.249989;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0360250;-0.597344;-0.395809;0.999946;0.999956;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-2.20140e-05;0.0;1.0;0.999994;-2.65213;0.24999;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0370250;-0.320307;-0.660186;0.999936;0.999952;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-2.98406e-05;0.0;0.999996;0.999998;-2.33797;0.24999;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0380250;-0.0119062;-0.859978;0.999962;0.999948;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-2.23709e-05;0.0;1.0;1.00001;-2.02381;0.249978;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0390250;0.297656;-0.975556;0.999952;0.999969;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-2.05511e-05;0.0;1.0;0.999985;-1.70966;0.249983;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0400250;0.578062;-0.995651;0.999952;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-4.13479e-05;0.0;0.999989;0.999986;-1.3955;0.249977;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0410250;0.801957;-0.91829;0.999975;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;1.51207e-05;0.0;1.00002;1.00001;-1.08135;0.249981;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0420250;0.947271;-0.751022;0.999957;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-7.64521e-06;0.0;1.00001;1.0;-0.767183;0.249992;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0430250;0.999891;-0.510225;0.999961;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;1.91613e-05;0.0;1.00002;1.00001;-0.453021;0.249993;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0440250;0.954647;-0.219539;0.999977;0.999965;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.96733e-05;0.0;1.0;1.0;-0.13886;0.249977;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0450250;0.815954;0.0926363;0.999966;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-6.24256e-05;0.0;0.999978;0.999988;0.175301;0.249979;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0460250;0.597344;0.395809;0.999946;0.99995;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-1.67153e-05;0.0;1.0;0.999995;0.489455;0.24998;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0470250;0.320307;0.660186;0.999936;0.999945;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-2.48842e-05;0.0;0.999996;1.0;0.803615;0.249979;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0480250;0.0118481;0.859978;0.999928;0.999945;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;3.94461e-05;0.0;1.00003;1.00002;1.11778;0.249987;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0490250;-0.297656;0.975556;0.999952;0.999963;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-1.89155e-05;0.0;0.999999;0.999994;1.43193;0.249987;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0500250;-0.578062;0.995651;0.999952;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-4.10349e-05;0.0;0.999988;0.999985;1.74609;0.249986;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0510250;-0.801957;0.91829;0.999975;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;1.43629e-05;0.0;1.00002;1.0;2.06025;0.249985;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0520250;-0.947271;0.751022;0.999957;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-5.62053e-06;0.0;1.00001;1.0;2.37441;0.249989;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0530250;-0.999891;0.510225;0.999961;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;2.14727e-05;0.0;1.00002;1.00001;2.68857;0.249991;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0540250;-0.954647;0.219539;0.999977;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-1.70371e-05;0.0;0.999999;1.00001;3.00273;0.249994;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0550250;-0.815954;-0.0926363;0.999966;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-5.98626e-05;0.0;0.999978;0.999988;-2.96629;0.249998;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0560250;-0.597344;-0.395809;0.999946;0.999956;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58949;-1.357e-05;0.0;1.0;0.999994;-2.65214;0.249994;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0570250;-0.320307;-0.660186;0.999936;0.999952;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-2.13996e-05;0.0;0.999997;0.999999;-2.33798;0.249983;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
