Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.0900250;0.01;0.000940529;0.244025;0.0375301;0.00905947;
0.0910250;0.01;0.000731523;0.243863;0.0385523;0.00926848;
0.0920250;0.01;0.000731523;0.243833;0.0387376;0.00926848;
0.0930250;0.01;0.00146305;0.244305;0.035778;0.00853695;
0.0940250;0.01;0.000627020;0.243742;0.0393072;0.00937298;
0.0950250;0.01;0.000731523;0.243779;0.0390751;0.00926848;
0.0960250;0.01;0.0282159;0.261305;-0.0709696;-0.0182159;
0.0970250;0.01;0.00783775;0.248362;0.0102912;0.00216225;
0.0980250;0.01;0.000731523;0.243807;0.0389023;0.00926848;
0.0990250;0.01;0.0136899;0.252051;-0.0128876;-0.00368993;
0.100025;0.01;0.00114954;0.244073;0.0372305;0.00885046;
0.101025;0.01;0.000731523;0.243777;0.0390884;0.00926848;
0.102025;0.01;0.000731523;0.243748;0.0392738;0.00926848;
0.103025;0.01;0.00261258;0.244953;0.0317042;0.00738742;
0.104025;0.01;0.000627020;0.243659;0.0398308;0.00937298;
0.105025;0.01;0.000731523;0.243696;0.0395987;0.00926848;
0.106025;0.01;0.0326050;0.264029;-0.0880308;-0.0226050;
0.107025;0.01;0.0202736;0.25623;-0.0391351;-0.0102736;
0.108025;0.01;0.000731523;0.243764;0.0391704;0.00926848;
0.109025;0.01;0.0148395;0.252742;-0.0172249;-0.00483947;
0.110025;0.01;0.00553867;0.24684;0.0198543;0.00446133;
0.111025;0.01;0.000731523;0.243749;0.0392682;0.00926848;
0.112025;0.01;0.000731523;0.243719;0.0394536;0.00926848;
0.113025;0.01;0.00459814;0.246193;0.0239204;0.00540186;
0.114025;0.01;0.000627020;0.243634;0.03999;0.00937298;
0.115025;0.01;0.000731523;0.243671;0.0397579;0.00926848;
0.116025;0.01;0.0378302;0.26735;-0.108796;-0.0278302;
0.117025;0.01;0.0344861;0.265311;-0.0960556;-0.0244861;
0.118025;0.01;0.000731523;0.243796;0.0389737;0.00926848;
0.119025;0.01;0.0144215;0.252506;-0.0157435;-0.00442145;
0.120025;0.01;0.0124359;0.251274;-0.00800493;-0.00243589;
0.121025;0.01;0.000731523;0.243794;0.038983;0.00926848;
0.122025;0.01;0.000731523;0.243765;0.0391684;0.00926848;
0.123025;0.01;0.00762874;0.248173;0.0114817;0.00237126;
0.124025;0.01;0.000627020;0.243685;0.0396669;0.00937298;
0.125025;0.01;0.000731523;0.243722;0.0394348;0.00926848;
