Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
2.5e-05;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00115000;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00227500;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00340000;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00452500;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00565000;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00677500;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00790000;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.00902500;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0101500;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.011275;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0124;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.013525;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.01465;0.0;0.000627020;0.250020;-0.000125404;-0.000627020;
0.015775;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0169;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0180250;0.0;0.000627020;0.250020;-0.000125404;-0.000627020;
0.01915;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0202750;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0214;0.0;0.000627020;0.250020;-0.000125404;-0.000627020;
0.022525;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.02365;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.024775;0.0;0.000627020;0.250020;-0.000125404;-0.000627020;
0.0259;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0270250;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.02815;0.0;0.000627020;0.250020;-0.000125404;-0.000627020;
0.029275;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
0.0304000;0.0;0.000731523;0.250023;-0.000146305;-0.000731523;
