Time;Motor voltage URS;Motor voltage UST;Motor voltage magnitude;Motor voltage magnitude filtered;DC link current;Flux X;Flux Y;Flux angle;Flux magnitude;Rotor position flux;Rotor position plant;Control angle motor;PLL motor angle error;Notch mask motor;Motor frequency;Motor frequency filtered;Motor integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;DC voltage;Pulse block causes;
0.0190250;0.250101;-0.122529;0.250118;0.250152;0.000731523;0.0;0.0;0.0;0.0;0.0;0.668813;2.58949;-0.000358122;0.0;0.250083;0.250088;-0.501286;0.250088;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183927;0.0;
0.0200250;0.249832;-0.113921;0.250155;0.250152;0.000731523;0.0;0.0;0.0;0.0;0.0;0.675063;2.58949;-0.000507390;0.0;0.250053;0.250069;-0.462004;0.250069;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183954;0.0;
0.0210250;0.24916;-0.105044;0.250179;0.250153;0.000731523;0.0;0.0;0.0;0.0;0.0;0.681313;2.58949;-0.000273411;0.0;0.250096;0.250080;-0.422723;0.250080;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183972;0.0;
0.0220250;0.248084;-0.0960997;0.250173;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;0.687563;2.58949;-0.000513025;0.0;0.250049;0.250064;-0.383444;0.250064;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183968;0.0;
0.0230250;0.246604;-0.0869537;0.250150;0.250153;0.000731523;0.0;0.0;0.0;0.0;0.0;0.693813;2.58949;-0.000540475;0.0;0.250042;0.250049;-0.344165;0.250049;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183951;0.0;
0.0240250;0.244788;-0.0776733;0.250176;0.250155;0.000731523;0.0;0.0;0.0;0.0;0.0;0.700063;2.58949;-0.000494999;0.0;0.250049;0.250057;-0.304886;0.250057;0.0;0.0;0.000733674;0.0;-0.000731523;-0.18397;0.0;
0.0250250;0.242569;-0.0682583;0.250178;0.250156;0.000731523;0.0;0.0;0.0;0.0;0.0;0.706313;2.58949;-0.000424542;0.0;0.250060;0.250049;-0.265609;0.250049;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183971;0.0;
0.0260250;0.239946;-0.0587761;0.250136;0.250150;0.000731523;0.0;0.0;0.0;0.0;0.0;0.712563;2.58949;-0.000553881;0.0;0.250034;0.250050;-0.22633;0.250050;0.0;0.0;0.000699761;0.0;-0.000731523;-0.18394;0.0;
0.0270250;0.236988;-0.0491594;0.250145;0.250152;0.000731523;0.0;0.0;0.0;0.0;0.0;0.718813;2.58949;-0.000447650;0.0;0.250052;0.250048;-0.187053;0.250048;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183947;0.0;
0.0280250;0.233692;-0.0394755;0.250187;0.250159;0.000627020;0.0;0.0;0.0;0.0;0.0;0.725063;2.58949;-0.000361519;0.0;0.250067;0.250066;-0.147773;0.250066;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183978;0.0;
0.0290250;0.229994;-0.0297916;0.250154;0.250159;0.000731523;0.0;0.0;0.0;0.0;0.0;0.731313;2.58949;-0.000570936;0.0;0.250026;0.250035;-0.108496;0.250035;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183953;0.0;
0.0300250;0.225959;-0.0199731;0.250182;0.250161;0.000731523;0.0;0.0;0.0;0.0;0.0;0.737563;2.58949;-0.000390160;0.0;0.250058;0.250040;-0.0692201;0.250040;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183974;0.0;
0.0310250;0.221587;-0.0101547;0.250210;0.250165;0.000731523;0.0;0.0;0.0;0.0;0.0;0.743813;2.58949;-0.000342519;0.0;0.250066;0.250048;-0.0299436;0.250048;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183995;0.0;
0.0320250;0.216813;-0.000336248;0.250160;0.250157;0.000731523;0.0;0.0;0.0;0.0;0.0;0.750063;2.58949;-0.000367637;0.0;0.250059;0.250044;0.00933301;0.250044;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183958;0.0;
0.0330250;0.211769;0.00941494;0.250143;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.756313;2.58949;-0.000647277;0.0;0.250003;0.249989;0.0486016;0.249989;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183945;0.0;
0.0340250;0.206389;0.0191661;0.250118;0.250121;0.000731523;0.0;0.0;0.0;0.0;0.0;0.762563;2.58948;-0.000858639;0.0;0.24996;0.249973;0.0878694;0.249973;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183927;0.0;
0.0350250;0.200673;0.0289846;0.250136;0.250124;0.000731523;0.0;0.0;0.0;0.0;0.0;0.768813;2.58949;-0.000692613;0.0;0.249989;0.249989;0.127137;0.249989;0.0;0.0;0.000723986;0.0;-0.000731523;-0.18394;0.0;
0.0360250;0.19462;0.0387358;0.250110;0.250118;0.000731523;0.0;0.0;0.0;0.0;0.0;0.775063;2.58949;-0.000594056;0.0;0.250005;0.24999;0.166403;0.24999;0.0;0.0;0.000699761;0.0;-0.000731523;-0.18392;0.0;
0.0370250;0.188299;0.0483524;0.250064;0.250118;0.000731523;0.0;0.0;0.0;0.0;0.0;0.781313;2.58949;-0.000778597;0.0;0.249967;0.24999;0.205673;0.24999;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183887;0.0;
0.0380250;0.181708;0.0579691;0.250098;0.250113;0.000627020;0.0;0.0;0.0;0.0;0.0;0.787563;2.58948;-0.000719410;0.0;0.249976;0.249978;0.244939;0.249978;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183912;0.0;
0.0390250;0.174849;0.0675186;0.250164;0.250124;0.000731523;0.0;0.0;0.0;0.0;0.0;0.793813;2.58949;-0.000611819;0.0;0.249994;0.249983;0.284206;0.249983;0.0;0.0;0.000691686;0.0;-0.000731523;-0.18396;0.0;
0.0400250;0.167653;0.0768663;0.250074;0.250119;0.000731523;0.0;0.0;0.0;0.0;0.0;0.800063;2.58948;-0.000733768;0.0;0.249968;0.249977;0.323473;0.249977;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183894;0.0;
0.0410250;0.160256;0.086214;0.250149;0.250122;0.000731523;0.0;0.0;0.0;0.0;0.0;0.806313;2.58949;-0.000565874;0.0;0.249997;0.249981;0.362739;0.249981;0.0;0.0;0.000733346;0.0;-0.000731523;-0.18395;0.0;
0.0420250;0.152589;0.0953599;0.250141;0.250126;0.000731523;0.0;0.0;0.0;0.0;0.0;0.812563;2.58949;-0.000578344;0.0;0.249993;0.249992;0.402007;0.249992;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183943;0.0;
0.0430250;0.144654;0.104371;0.250109;0.250117;0.000731523;0.0;0.0;0.0;0.0;0.0;0.818813;2.58949;-0.000490353;0.0;0.250007;0.249993;0.441275;0.249993;0.0;0.0;0.000720894;0.0;-0.000731523;-0.18392;0.0;
0.0440250;0.136584;0.113181;0.250130;0.250118;0.000731523;0.0;0.0;0.0;0.0;0.0;0.825063;2.58948;-0.000679950;0.0;0.249969;0.249977;0.480542;0.249977;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183936;0.0;
0.0450250;0.128245;0.121856;0.250128;0.250118;0.000731523;0.0;0.0;0.0;0.0;0.0;0.831313;2.58949;-0.000648816;0.0;0.249972;0.249979;0.519808;0.249979;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183934;0.0;
0.0460250;0.119704;0.130330;0.250109;0.250122;0.000731523;0.0;0.0;0.0;0.0;0.0;0.837563;2.58949;-0.000639047;0.0;0.249972;0.24998;0.559076;0.24998;0.0;0.0;0.000699761;0.0;-0.000731523;-0.18392;0.0;
0.0470250;0.110962;0.138601;0.250073;0.250120;0.000731523;0.0;0.0;0.0;0.0;0.0;0.843813;2.58949;-0.000580664;0.0;0.249981;0.249979;0.598342;0.249979;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183893;0.0;
0.0480250;0.102085;0.146671;0.250085;0.250122;0.000627020;0.0;0.0;0.0;0.0;0.0;0.850063;2.58949;-0.000588456;0.0;0.249977;0.249987;0.637611;0.249987;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183902;0.0;
0.0490250;0.0930734;0.15454;0.250143;0.250116;0.000731523;0.0;0.0;0.0;0.0;0.0;0.856313;2.58949;-0.000622671;0.0;0.249969;0.249987;0.676879;0.249987;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183945;0.0;
0.0500250;0.0838602;0.162139;0.250116;0.250114;0.000731523;0.0;0.0;0.0;0.0;0.0;0.862563;2.58949;-0.000548858;0.0;0.249981;0.249986;0.716146;0.249986;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183925;0.0;
0.0510250;0.0745125;0.169469;0.250065;0.250109;0.000731523;0.0;0.0;0.0;0.0;0.0;0.868813;2.58949;-0.000476054;0.0;0.249993;0.249985;0.755413;0.249985;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183888;0.0;
0.0520250;0.0650976;0.176597;0.250121;0.250114;0.000731523;0.0;0.0;0.0;0.0;0.0;0.875063;2.58949;-0.000472283;0.0;0.249992;0.249989;0.794681;0.249989;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183929;0.0;
0.0530250;0.0555482;0.18339;0.250078;0.250112;0.000731523;0.0;0.0;0.0;0.0;0.0;0.881313;2.58949;-0.000435397;0.0;0.249997;0.249991;0.833949;0.249991;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183897;0.0;
0.0540250;0.0459315;0.189913;0.250065;0.250116;0.000731523;0.0;0.0;0.0;0.0;0.0;0.887563;2.58949;-0.000437764;0.0;0.249994;0.249994;0.873217;0.249994;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183888;0.0;
0.0550250;0.0362475;0.196167;0.250083;0.250106;0.000731523;0.0;0.0;0.0;0.0;0.0;0.893813;2.58949;-0.000435552;0.0;0.249993;0.249998;0.912487;0.249998;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183901;0.0;
0.0560250;0.0264963;0.202152;0.250130;0.250116;0.000731523;0.0;0.0;0.0;0.0;0.0;0.900063;2.58949;-0.000377980;0.0;0.250003;0.249994;0.951755;0.249994;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183935;0.0;
0.0570250;0.0167451;0.207734;0.250100;0.250117;0.000731523;0.0;0.0;0.0;0.0;0.0;0.906313;2.58949;-0.000521200;0.0;0.249974;0.249983;0.991022;0.249983;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183913;0.0;
0.0580250;0.00692671;0.213047;0.250100;0.250120;0.000627020;0.0;0.0;0.0;0.0;0.0;0.912563;2.58949;-0.000483650;0.0;0.249979;0.249986;1.03029;0.249986;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183914;0.0;
0.0590250;-0.00282448;0.218023;0.250137;0.250123;0.000731523;0.0;0.0;0.0;0.0;0.0;0.918813;2.58948;-0.000759547;0.0;0.249924;0.249944;1.06956;0.249944;0.0;0.0;0.000691686;0.0;-0.000731523;-0.18394;0.0;
0.0600250;-0.0126429;0.222731;0.250207;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.925063;2.58948;-0.000761335;0.0;0.249922;0.249934;1.10882;0.249934;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183992;0.0;
