Time;I_a_motor_pu;I_c_motor_pu;U_ab_for_pll_motor;U_bc_for_pll_motor;PLL_error_motor;filtered_frequency_motor;frequency_motor;flux_angle;flux_magnitude;flux_x;flux_y;absolute_speed;motor_voltage_magnitude;dc_voltage;motor_overlap_mask;cos_phi;flux_rotor_frequency;flux_rotor_position;release_pulses;pulse_block_causes;rotor_position_plant;Integrator_angle_motor;R+_motor;S+_motor;T+_motor;R-_motor;S-_motor;T-_motor;dc_voltage_plant;motor_notch_mask_active;
0.0110876;4.10097e-05;9.02694e-05;-0.105694;0.145154;-0.00756758;0.0498569;0.0652379;1.69832;0.251201;-0.0319465;0.249161;0.00238589;0.150107;-0.108983;0.000202060;-0.840670;0.00238589;1.69832;0.0;0.0;0.262323;1.83834;0.0;0.0;0.0;0.0;0.0;0.0;-1.01675e-16;0.0;
0.0118251;4.32636e-05;8.84976e-05;-0.107561;0.144456;0.00320279;0.102823;0.115608;1.70715;0.268735;-0.0365302;0.26624;0.00279003;0.150107;-0.108985;0.000202622;-0.840687;0.00279003;1.70715;0.0;0.0;0.2797;1.84791;0.0;0.0;0.0;0.0;0.0;0.0;-1.05111e-16;0.0;
0.0125626;4.55038e-05;8.66982e-05;-0.109395;0.143713;0.00789762;0.141256;0.149604;1.71599;0.286248;-0.0414151;0.283236;0.00322036;0.150107;-0.108987;0.000203371;-0.840706;0.00322036;1.71599;0.0;0.0;0.297077;1.86265;0.0;0.0;0.0;0.0;0.0;0.0;-1.28028e-16;0.0;
0.0133002;4.773e-05;8.48717e-05;-0.111194;0.142924;0.00835870;0.162928;0.166984;1.72482;0.303739;-0.0465995;0.300143;0.00367578;0.150107;-0.108990;0.000203745;-0.840726;0.00367578;1.72482;0.0;0.0;0.314454;1.88067;0.0;0.0;0.0;0.0;0.0;0.0;-2.06719e-16;0.0;
0.0140377;4.99412e-05;8.30187e-05;-0.112958;0.142091;0.00655489;0.170794;0.171679;1.73366;0.321206;-0.0520818;0.316956;0.00415523;0.150107;-0.108993;0.000204120;-0.840747;0.00415523;1.73366;0.0;0.0;0.331831;1.90023;0.0;0.0;0.0;0.0;0.0;0.0;-4.32236e-16;0.0;
0.0147752;5.1772e-05;8.14547e-05;-0.114687;0.141214;0.00403925;0.169722;0.168779;1.7425;0.338648;-0.0578604;0.333669;0.00465765;0.150107;-0.108996;0.000204494;-0.840769;0.00465765;1.7425;0.0;0.0;0.349208;1.92006;0.0;0.0;0.0;0.0;0.0;0.0;-4.02298e-16;0.0;
0.0155127;5.39541e-05;7.95546e-05;-0.116101;0.140449;0.00211145;0.165395;0.163807;1.74986;0.353163;-0.0629008;0.347516;0.00509313;0.150107;-0.108998;0.000205243;-0.840789;0.00509313;1.74986;0.0;0.0;0.366585;1.93945;0.0;0.0;0.0;0.0;0.0;0.0;-3.54066e-16;0.0;
0.0162502;5.61194e-05;7.76296e-05;-0.117764;0.139491;0.000402876;0.159142;0.157503;1.75869;0.370556;-0.0692177;0.364034;0.00563499;0.150107;-0.109001;0.000205992;-0.840813;0.00563499;1.75869;0.0;0.0;0.383962;1.95814;0.0;0.0;0.0;0.0;0.0;0.0;-3.96808e-16;0.0;
0.0169877;5.82671e-05;7.56805e-05;-0.119391;0.138489;-0.000564283;0.153733;0.152467;1.76753;0.387919;-0.0758255;0.380437;0.00619697;0.150107;-0.109004;0.000206367;-0.840837;0.00619697;1.76753;0.0;0.0;0.401338;1.97615;0.0;0.0;0.0;0.0;0.0;0.0;-5.21058e-16;0.0;
0.0177252;6.03967e-05;7.37077e-05;-0.120980;0.137445;-0.000918145;0.150074;0.149307;1.77637;0.405253;-0.0827221;0.39672;0.00677809;0.150107;-0.109008;0.000206068;-0.840863;0.00677809;1.77637;0.0;0.0;0.418715;1.99366;0.0;0.0;0.0;0.0;0.0;0.0;-1.69283e-16;0.0;
0.0184627;6.25074e-05;7.17118e-05;-0.122531;0.136357;-0.000874415;0.148194;0.147868;1.7852;0.422555;-0.0899054;0.412879;0.00737741;0.150107;-0.109011;0.000206553;-0.840889;0.00737741;1.7852;0.0;0.0;0.436092;2.01089;0.0;0.0;0.0;0.0;0.0;0.0;-3.80929e-16;0.0;
0.0192003;6.45986e-05;6.96936e-05;-0.124044;0.135227;-0.000638944;0.14768;0.147656;1.79404;0.439823;-0.0973731;0.428909;0.00799401;0.150107;-0.109015;0.000206950;-0.840917;0.00799401;1.79404;0.0;0.0;0.453469;2.02801;0.0;0.0;0.0;0.0;0.0;0.0;-1.74372e-16;0.0;
0.0199378;6.66696e-05;6.76537e-05;-0.125518;0.134054;-0.000363155;0.147985;0.148122;1.80287;0.457058;-0.105123;0.444804;0.00862701;0.150107;-0.109018;0.000206996;-0.840945;0.00862701;1.80287;0.0;0.0;0.470846;2.04513;0.0;0.0;0.0;0.0;0.0;0.0;-1.01615e-16;0.0;
0.0206753;6.87197e-05;6.55925e-05;-0.126953;0.13284;-0.000134618;0.148631;0.148816;1.81171;0.474256;-0.113152;0.460560;0.00927549;0.150107;-0.109022;0.000206372;-0.840973;0.00927549;1.81171;0.0;0.0;0.488223;2.06231;0.0;0.0;0.0;0.0;0.0;0.0;1.73645e-16;0.0;
0.0214128;7.07485e-05;6.3511e-05;-0.128349;0.131584;1.44302e-05;0.149293;0.149457;1.82054;0.491418;-0.121459;0.476172;0.00993861;0.150107;-0.109026;0.000206429;-0.841002;0.00993861;1.82054;0.0;0.0;0.505600;2.07957;0.0;0.0;0.0;0.0;0.0;0.0;1.18868e-17;0.0;
0.0221503;7.24221e-05;6.17611e-05;-0.129704;0.130287;8.69266e-05;0.149803;0.149917;1.82938;0.508542;-0.130040;0.491634;0.0106155;0.150107;-0.109030;0.000206811;-0.841033;0.0106155;1.82938;0.0;0.0;0.522977;2.0969;0.0;0.0;0.0;0.0;0.0;0.0;2.71666e-16;0.0;
0.0228878;7.44099e-05;5.96436e-05;-0.130803;0.129175;0.000102852;0.150073;0.150142;1.83674;0.522781;-0.137399;0.504402;0.0111896;0.150107;-0.109033;0.000206997;-0.841058;0.0111896;1.83674;0.0;0.0;0.540354;2.11427;0.0;0.0;0.0;0.0;0.0;0.0;4.59473e-16;0.0;
0.0236253;7.63744e-05;5.75076e-05;-0.132084;0.127804;8.95481e-05;0.150229;0.150253;1.84558;0.53983;-0.146476;0.519578;0.0118897;0.150107;-0.109037;0.000206785;-0.841089;0.0118897;1.84558;0.0;0.0;0.557731;2.13167;0.0;0.0;0.0;0.0;0.0;0.0;4.65416e-16;0.0;
