Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
2.5e-05;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00115000;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00227500;0.750023;0.416957;0.0138465;0.416957;1.0;
0.00340000;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00452500;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00565000;0.750023;0.416957;0.0138465;0.416957;1.0;
0.00677500;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00790000;0.750023;0.416956;0.0138465;0.416956;1.0;
0.00902500;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0101500;0.750023;0.416956;0.0138465;0.416956;1.0;
0.011275;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0124;0.750023;0.416957;0.0138465;0.416957;1.0;
0.013525;0.750023;0.416956;0.0138465;0.416956;1.0;
0.01465;0.750020;0.416956;0.0138465;0.416956;1.0;
0.015775;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0169;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0180250;0.750020;0.416956;0.0138465;0.416956;1.0;
0.01915;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0202750;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0214;0.750020;0.416956;0.0138465;0.416956;1.0;
0.022525;0.750023;0.416957;0.0138465;0.416957;1.0;
0.02365;0.750023;0.416956;0.0138465;0.416956;1.0;
0.024775;0.750020;0.416956;0.0138465;0.416956;1.0;
0.0259;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0270250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.02815;0.750020;0.416956;0.0138465;0.416956;1.0;
0.029275;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0304000;0.750023;0.416956;0.0138465;0.416956;1.0;
0.031525;0.750020;0.416956;0.0138465;0.416956;1.0;
0.03265;0.750023;0.416957;0.0138465;0.416957;1.0;
0.033775;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0349;0.750020;0.416956;0.0138465;0.416956;1.0;
0.0360250;0.750023;0.416957;0.0138465;0.416957;1.0;
0.03715;0.750023;0.416956;0.0138465;0.416956;1.0;
0.038275;0.750020;0.416956;0.0138465;0.416956;1.0;
0.0394;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0405250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.04165;0.750023;0.416956;0.0138465;0.416956;1.0;
0.042775;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0439;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0450250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.04615;0.750023;0.416957;0.0138465;0.416957;1.0;
0.047275;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0484;0.750023;0.416956;0.0138465;0.416956;1.0;
0.049525;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0506500;0.750023;0.416956;0.0138465;0.416956;1.0;
0.051775;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0529;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0540250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.05515;0.750023;0.416956;0.0138465;0.416956;1.0;
0.056275;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0574;0.750023;0.416956;0.0138465;0.416956;1.0;
0.058525;0.750023;0.416956;0.0138465;0.416956;1.0;
0.05965;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0607750;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0619;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0630250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.06415;0.750023;0.416956;0.0138465;0.416956;1.0;
0.065275;0.750023;0.416957;0.0138465;0.416957;1.0;
0.0664;0.750023;0.416956;0.0138465;0.416956;1.0;
0.067525;0.750023;0.416956;0.0138465;0.416956;1.0;
0.06865;0.750023;0.416957;0.0138465;0.416957;1.0;
0.069775;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0709000;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0720250;0.750023;0.416956;0.0138465;0.416956;1.0;
0.07315;0.750023;0.416956;0.0138465;0.416956;1.0;
0.074275;0.750023;0.416956;0.0138465;0.416956;1.0;
0.0754;0.750023;0.416957;0.0138465;0.416957;1.0;
0.076525;0.750023;0.416956;0.0138465;0.416956;1.0;
0.07765;0.750023;0.416956;0.0138465;0.416956;1.0;
